Image,Latitude,Longitude,Altitude,Degrees_Clockwise_from_North,Timestamp
GOPR4168.JPG,42.4452976,-76.4417989,0.792,86.27186338620186,2026:04:17 14:18:42
GOPR4169.JPG,42.4452977,-76.4417994,0.732,86.26278606154919,2026:04:17 14:18:47
GOPR4171.JPG,42.4452973,-76.4417985,0.583,86.09171708242893,2026:04:17 14:19:52
GOPR4172.JPG,42.4452974,-76.4417982,0.018,86.10153889796734,2026:04:17 14:19:56
GOPR4174.JPG,42.4452995,-76.441793,1.421,84.8628563283205,2026:04:17 14:20:06
GOPR4175.JPG,42.4452877,-76.4417654,4.712,85.13643965334892,2026:04:17 14:20:11
GOPR4176.JPG,42.4452922,-76.4417613,8.791,110.91927234756946,2026:04:17 14:20:16
GOPR4179.JPG,42.4452594,-76.4416657,28.309,108.07347301232815,2026:04:17 14:20:31
GOPR4180.JPG,42.4452479,-76.4416238,35.644,109.29513474447727,2026:04:17 14:20:36
GOPR4181.JPG,42.445244,-76.4416022,43.883,107.13642536466122,2026:04:17 14:20:41
GOPR4185.JPG,42.4450018,-76.4406307,64.581,108.96431441373825,2026:04:17 14:21:01
GOPR4186.JPG,42.4449133,-76.4403697,65.831,108.63930657606124,2026:04:17 14:21:07
GOPR4187.JPG,42.4448294,-76.4401277,67.907,108.60568154275417,2026:04:17 14:21:11
GOPR4188.JPG,42.4447481,-76.4398369,69.915,109.20102836444377,2026:04:17 14:21:16
GOPR4189.JPG,42.4447963,-76.4396324,70.674,120.63215315995217,2026:04:17 14:21:21
GOPR4191.JPG,42.4450629,-76.439604,70.656,121.65739224171638,2026:04:17 14:21:32
GOPR4192.JPG,42.4452017,-76.4396995,70.803,124.44641902427674,2026:04:17 14:21:36
GOPR4193.JPG,42.4453471,-76.4398666,70.076,123.11929913363457,2026:04:17 14:21:42
GOPR4195.JPG,42.4456348,-76.4404333,65.209,122.64525651497841,2026:04:17 14:21:52
GOPR4197.JPG,42.4459194,-76.4410113,58.53,124.03451748890876,2026:04:17 14:22:02
GOPR4199.JPG,42.4460007,-76.4406786,53.805,127.823935116148,2026:04:17 14:22:12
GOPR4202.JPG,42.4455813,-76.4396741,50.173,125.09833349289894,2026:04:17 14:22:27
GOPR4203.JPG,42.4454055,-76.4392986,50.274,123.58988567533493,2026:04:17 14:22:32
GOPR4204.JPG,42.4452465,-76.4389628,50.233,123.45729799575805,2026:04:17 14:22:37
GOPR4206.JPG,42.4455534,-76.4383688,50.869,116.38788575248718,2026:04:17 14:22:46
GOPR4207.JPG,42.4457585,-76.4384354,50.383,122.23442048950196,2026:04:17 14:22:52
GOPR4208.JPG,42.4459697,-76.4387909,50.319,121.68842863240242,2026:04:17 14:22:57
GOPR4211.JPG,42.4465076,-76.4399767,50.332,123.17899500832557,2026:04:17 14:23:12
GOPR4212.JPG,42.4466656,-76.440298,50.332,124.5186414703846,2026:04:17 14:23:17
GOPR4214.JPG,42.4463214,-76.4410362,50.445,129.7637641755581,2026:04:17 14:23:27
GOPR4216.JPG,42.4457325,-76.4409729,50.293,121.6454667271614,2026:04:17 14:23:37
GOPR4217.JPG,42.4454125,-76.440534,50.515,123.73083350944519,2026:04:17 14:23:42
GOPR4219.JPG,42.4448345,-76.4395404,50.303,122.3436215929985,2026:04:17 14:23:52
GOPR4221.JPG,42.4443235,-76.4390577,50.297,132.30146722755433,2026:04:17 14:24:02
GOPR4222.JPG,42.4444246,-76.4393885,50.501,121.21345710768699,2026:04:17 14:24:07
GOPR4223.JPG,42.4446393,-76.4398548,50.462,122.84391946821212,2026:04:17 14:24:12
GOPR4226.JPG,42.4450795,-76.441075,44.751,103.54506280360222,2026:04:17 14:24:27
GOPR4227.JPG,42.4451263,-76.4412339,36.166,102.23335865542889,2026:04:17 14:24:32
GOPR4228.JPG,42.445188,-76.4414412,25.046,110.49670205290317,2026:04:17 14:24:37
GOPR4229.JPG,42.4452303,-76.4415664,18.705,114.12302153463364,2026:04:17 14:24:42
GOPR4230.JPG,42.4452235,-76.4415641,13.983,112.12496509172917,2026:04:17 14:24:47
GOPR4232.JPG,42.4452573,-76.4417054,3.11,112.86116412484645,2026:04:17 14:24:57
GOPR4233.JPG,42.4452709,-76.4417452,0.921,112.57636562519073,2026:04:17 14:25:02
GOPR4234.JPG,42.4452792,-76.4417464,-0.18,112.2244468325615,2026:04:17 14:25:07
GOPR4235.JPG,42.4452795,-76.441746,-0.638,108.41862991526126,2026:04:17 14:25:12
GOPR4236.JPG,42.4452814,-76.4417478,-0.785,108.78834135704041,2026:04:17 14:25:17
GOPR4237.JPG,42.4452832,-76.4417491,-0.848,108.80399615621566,2026:04:17 14:25:22
GOPR4239.JPG,42.445285,-76.4417497,-0.433,103.4832427393198,2026:04:17 14:25:32
GOPR4240.JPG,42.4452856,-76.441749,-0.322,100.75244334025383,2026:04:17 14:25:37
GOPR4243.JPG,42.4452881,-76.4417487,-0.421,92.80575445611477,2026:04:17 14:25:52
GOPR4244.JPG,42.4452877,-76.4417492,-0.313,90.60485498270988,2026:04:17 14:25:57
GOPR4246.JPG,42.4452875,-76.4417507,-0.245,87.02162034966946,2026:04:17 14:26:07
GOPR4248.JPG,42.44529,-76.441754,-0.44,84.48586390228272,2026:04:17 14:26:17
GOPR4251.JPG,42.4452874,-76.4417571,-0.213,82.40894606702328,2026:04:17 14:26:32
GOPR4252.JPG,42.4452873,-76.4417573,-0.293,82.05085278117657,2026:04:17 14:26:37
GOPR4255.JPG,42.4452878,-76.4417456,-1.005,76.72934804320336,2026:04:17 14:26:52
GOPR4256.JPG,42.4452883,-76.4417453,-0.792,76.79439195792675,2026:04:17 14:26:57
GOPR4259.JPG,42.4452882,-76.4417419,-0.261,77.1980836029768,2026:04:17 14:27:12
GOPR4260.JPG,42.4452874,-76.4417415,-0.267,77.60850981695651,2026:04:17 14:27:17
GOPR4261.JPG,42.4452847,-76.4417391,-0.344,78.10427927513122,2026:04:17 14:27:22
GOPR4262.JPG,42.445285,-76.4417391,-0.302,78.58896333231925,2026:04:17 14:27:27
GOPR4263.JPG,42.4452846,-76.441738,-0.254,79.08180946848393,2026:04:17 14:27:32
GOPR4264.JPG,42.4452854,-76.4417377,-0.367,79.54612589428424,2026:04:17 14:27:37
GOPR4268.JPG,42.4452865,-76.4417384,-0.323,81.31672329611779,2026:04:17 14:27:57
GOPR4269.JPG,42.4452867,-76.4417386,-0.33,81.71441120274066,2026:04:17 14:28:02
GOPR4270.JPG,42.4452868,-76.4417393,-0.242,82.05423372602463,2026:04:17 14:28:07
GOPR4271.JPG,42.4452875,-76.4417392,-0.215,82.37760231771469,2026:04:17 14:28:12
GOPR4272.JPG,42.4452876,-76.4417396,-0.259,82.68373833596706,2026:04:17 14:28:17
GOPR4273.JPG,42.4452877,-76.4417407,-0.181,82.95055977129937,2026:04:17 14:28:22
GOPR4274.JPG,42.4452876,-76.4417413,-0.247,83.19544946136475,2026:04:17 14:28:27
